职位,公司,薪资,城市,公司详情页
ERP实施工程师（企业IT管理员）,佛山市金辉铭不锈钢有限公司,5-8千,佛山·禅城区,https://jobs.51job.com/all/coAGEGZARjAD4AZlM0VjI.html
美工设计师,云浮市格林之星装饰材料有限公司,3.5-5千,云浮,https://jobs.51job.com/all/coVjZSMFI5U2UDZlY8UzA.html
Ai标注师,陕西澄城老哥实业有限公司,3-6千,渭南,https://jobs.51job.com/all/coAW5WMwNjAzkAZwZgAWM.html
硬件工程师,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,郑州,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
运筹优化高级算法工程师-电力系统优化方向,成都云智优企业管理咨询有限公司,3.5-5.5万·14薪,广州·天河区,https://jobs.51job.com/all/coAm1TN1c2BjgPbgJpB2M.html
合成孔径雷达成像算法及实时处理,电子科技大学长三角研究院（衢州）,8千-1.6万,衢州,https://jobs.51job.com/all/coAGFRPQJgAT4DZVQzBmM.html
ERP实施工程师（企业IT管理员）,佛山市金辉铭不锈钢有限公司,5-8千,佛山·禅城区,https://jobs.51job.com/all/coAGEGZARjAD4AZlM0VjI.html
算法工程师（国企）,前锦网络信息技术（上海）有限公司,30-40万/年,福州·鼓楼区,https://jobs.51job.com/all/coAG9QNF88UmQGYFYxAWA.html
开发工程师（前端开发）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,深圳·南山区,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
视频设计师,浙江领蔚生物技术有限公司,4-8千,绍兴·越城区,https://jobs.51job.com/all/coCGtdPlA6ADkEaQRkAWA.html
AI算法工程师,立讯精密工业股份有限公司,1.5-3万,东莞,https://jobs.51job.com/all/coCG1VMQdgBzAGagVjUTQ.html
ERP实施工程师（企业IT管理员）,佛山市金辉铭不锈钢有限公司,5-8千,佛山·禅城区,https://jobs.51job.com/all/coAGEGZARjAD4AZlM0VjI.html
SMT工程师,广州恒康伟业教育科技有限公司,9千-1.3万,广州·番禺区,https://jobs.51job.com/all/coUTUBZgRhAjkGZFQzVzc.html
EPC项目工程师,中国移动通信集团设计院有限公司黑龙江分公司,,呼和浩特·赛罕区,https://jobs.51job.com/all/coUzBXMlM0Bz5UOFc8UDA.html
售前工程师(ICT业务）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,北京·西城区,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
智能座舱功能开发工程经理 - AI&智能场景 (MJ001922),Volvo Car China 沃尔沃汽车中国,,上海·嘉定区,https://jobs.51job.com/all/coBmIHZlUxBzkBZ1A1XDk.html
ERP实施工程师（企业IT管理员）,佛山市金辉铭不锈钢有限公司,5-8千,佛山·禅城区,https://jobs.51job.com/all/coAGEGZARjAD4AZlM0VjI.html
光学工程师/技术员（五险）,荆门市探梦科技有限公司,5千-1万,荆门,https://jobs.51job.com/all/coAmNXMVU0BDtSNVM5UzA.html
AIGC生成式语言模型应用工程师,拼多多集团-PDD,3-6万·18薪,上海,https://jobs.51job.com/all/coUzFTP1ExBToDYgZnVjY.html
需求分析师（智能化方向）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,北京·西城区,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
智享科技-高级控制算法工程师,前锦网络信息技术（上海）有限公司CQCP直通车项目组,2-4万,重庆·北碚区,https://jobs.51job.com/all/coUTNSPl4_UW0FZVA7VTc.html
地理空间信息应用总体设计师,电子科技大学长三角研究院（衢州）,7千-1.4万,衢州,https://jobs.51job.com/all/coAGFRPQJgAT4DZVQzBmM.html
AI应用开发工程师(J10618),华硕科技（苏州）有限公司,1.5-2.5万,苏州,https://jobs.51job.com/all/coBmICZ1I4Um0GYVQxXDs.html
搜索算法,拼多多集团-PDD,3-6万·18薪,上海,https://jobs.51job.com/all/coUzFTP1ExBToDYgZnVjY.html
开发工程师（JAVA开发）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,深圳·南山区,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
程序分析软件工程师,徐州玖目信息科技有限公司,1-2万,徐州·铜山区,https://jobs.51job.com/all/coAW9dPFc9AzxWNVczVTc.html
AI工程师,深圳市东晟数据有限公司,2-3万,深圳·南山区,https://jobs.51job.com/all/coBmVdOwNpBDJVN1M1AGM.html
